longitude\tlatitude\tspeed
-122.564517\t45.558775\t
-122.564362\t45.558802\t2
-122.564227\t45.558678\t3
-122.564158\t45.558543\t3
-122.56414\t45.558522\t0
-122.564042\t45.558417\t2
-122.563738\t45.558393\t5
-122.563177\t45.558605\t10
-122.562523\t45.558857\t11
-122.562077\t45.559047\t7
-122.561937\t45.559137\t2
-122.561847\t45.559205\t0
-122.561643\t45.559432\t6
-122.56134\t45.55977\t9
-122.561023\t45.560222\t11
-122.560935\t45.560848\t14
-122.560892\t45.561575\t16
-122.560545\t45.562318\t17
-122.55983\t45.562997\t18
-122.558963\t45.56369\t20
-122.558012\t45.564422\t21
-122.556993\t45.565208\t23
-122.555932\t45.56603\t24
-122.554848\t45.566857\t24
-122.553735\t45.567697\t25
-122.552597\t45.56856\t26
-122.551463\t45.56942\t25
-122.550343\t45.570278\t25
-122.54924\t45.571158\t26
-122.548178\t45.57209\t26
-122.547225\t45.573037\t25
-122.546403\t45.573997\t24
-122.545707\t45.574958\t23
-122.545087\t45.575955\t24
-122.544502\t45.577025\t25
-122.544047\t45.578155\t25
-122.543723\t45.579325\t26
-122.543522\t45.580517\t26
-122.543448\t45.581728\t26
-122.543507\t45.582965\t27
-122.543707\t45.584198\t27
-122.54404\t45.585422\t27
-122.544512\t45.586628\t27
-122.545098\t45.587783\t27
-122.545752\t45.588897\t26
-122.54643\t45.58999\t26
-122.547098\t45.591075\t26
-122.547738\t45.592123\t25
-122.548323\t45.593178\t25
-122.548857\t45.594258\t25
-122.549328\t45.595355\t25
-122.549753\t45.59647\t25
-122.550115\t45.597583\t25
-122.550423\t45.598702\t25
-122.550665\t45.599817\t24
-122.55086\t45.60092\t24
-122.551032\t45.602022\t24
-122.551168\t45.603102\t21
-122.551265\t45.60411\t22
-122.551343\t45.604903\t17
-122.551143\t45.605425\t12
-122.550468\t45.605618\t11
-122.549758\t45.605332\t13
-122.549207\t45.60469\t16
-122.54885\t45.603848\t19
-122.548522\t45.60301\t19
-122.547818\t45.602378\t17
-122.546688\t45.602113\t18
-122.545317\t45.602015\t21
-122.543803\t45.601787\t24
-122.542245\t45.601447\t25
-122.540628\t45.601087\t26
-122.53897\t45.600702\t27
-122.537293\t45.600302\t27
-122.535635\t45.5999\t27
-122.533977\t45.599507\t27
-122.53231\t45.59911\t27
-122.530612\t45.598725\t27
-122.528935\t45.598335\t27
-122.527295\t45.597945\t33
-122.52568\t45.59756\t26
-122.524083\t45.597167\t26
-122.522515\t45.596742\t26
-122.520937\t45.596308\t26
-122.519338\t45.595873\t26
-122.517763\t45.595442\t26
-122.516177\t45.595007\t26
-122.51458\t45.59457\t26
-122.512993\t45.594137\t26
-122.511453\t45.5937\t25
