-122.656868\t45.63811\t
-122.657305\t45.638237\t7
-122.657785\t45.638378\t8
-122.65831\t45.638532\t8
-122.658748\t45.638657\t7
-122.659083\t45.638752\t5
-122.659212\t45.638787\t1
-122.659295\t45.638903\t3
-122.659178\t45.639093\t4
-122.658997\t45.639323\t5
-122.658673\t45.639485\t6
-122.658443\t45.63953\t3
-122.658277\t45.63942\t3
-122.658117\t45.6393\t3
-122.658023\t45.639248\t1
-122.657992\t45.639238\t0
-122.657748\t45.639183\t3
-122.657387\t45.639122\t5
-122.657128\t45.6392\t5
-122.65699\t45.639322\t2
-122.656652\t45.63927\t6
-122.656097\t45.639093\t9
-122.65558\t45.638942\t8
-122.65531\t45.638722\t6
-122.655203\t45.63857\t3
-122.65489\t45.638537\t5
-122.654668\t45.638612\t3
-122.654542\t45.638793\t5
-122.654463\t45.639047\t5
-122.654428\t45.63913\t0
-122.65463\t45.639345\t6
-122.655285\t45.63948\t11
-122.656152\t45.639662\t14
-122.657105\t45.639862\t12
-122.65809\t45.639863\t19
-122.658998\t45.639543\t15
-122.659828\t45.639228\t12
-122.660432\t45.639005\t10
-122.660723\t45.638898\t4
-122.66097\t45.638818\t5
-122.661495\t45.63872\t7
-122.66218\t45.6387\t10
-122.66292\t45.638825\t11
-122.663473\t45.639038\t9
-122.663765\t45.639203\t5
-122.663838\t45.639252\t1
-122.663848\t45.63926\t0
-122.663848\t45.63926\t0
-122.663848\t45.63926\t0
-122.663912\t45.639308\t2
-122.664187\t45.639568\t7
-122.664612\t45.639923\t10
-122.665235\t45.64013\t10
-122.66589\t45.640148\t10
-122.666518\t45.640155\t9
-122.667153\t45.64016\t9
-122.667817\t45.640165\t10
-122.668503\t45.640177\t10
-122.668838\t45.640183\t4
-122.669042\t45.640185\t3
-122.669435\t45.64019\t6
-122.669898\t45.640195\t7
-122.670353\t45.6402\t6
-122.670772\t45.640203\t6
-122.671088\t45.640207\t4
-122.671373\t45.640208\t0
-122.671865\t45.640215\t7
-122.672345\t45.640225\t7
-122.67257\t45.640232\t3
-122.672747\t45.640233\t0
-122.673107\t45.640232\t5
-122.673377\t45.640233\t3
-122.673645\t45.640235\t4
-122.674247\t45.640237\t9
-122.674922\t45.640243\t10
-122.675633\t45.640247\t11
-122.676407\t45.640253\t12
-122.677217\t45.640258\t12
-122.67804\t45.640265\t12
-122.678867\t45.64027\t12
-122.67963\t45.640275\t11
-122.680255\t45.64028\t9
-122.680797\t45.640287\t8
-122.681562\t45.640288\t12
-122.682348\t45.640293\t12
-122.68314\t45.640292\t12
-122.6841\t45.640308\t15
-122.685132\t45.64036\t16
-122.686182\t45.640403\t16
-122.687155\t45.640412\t14
-122.688067\t45.64042\t14
-122.689018\t45.640427\t14
-122.690017\t45.640432\t15
-122.691038\t45.640425\t15
-122.691915\t45.640422\t12
-122.692403\t45.640482\t7
-122.692543\t45.640822\t8
-122.692522\t45.641375\t12
-122.692505\t45.642558\t13
-122.692492\t45.643153\t13
-122.692475\t45.643727\t12
-122.692458\t45.644303\t12
-122.692448\t45.644862\t12
-122.692435\t45.645322\t10
-122.692425\t45.645852\t11
-122.670608\t45.626988\t
-122.602275\t45.63791\t
-122.602283\t45.637825\t2
-122.60249\t45.637763\t3
-122.602823\t45.637762\t5
-122.603203\t45.637755\t5
-122.603592\t45.63775\t6
-122.60396\t45.637778\t5
-122.6043\t45.637825\t5
-122.604563\t45.637822\t3
-122.604737\t45.637818\t2
-122.604903\t45.637762\t3
-122.604963\t45.637425\t8
-122.604957\t45.636985\t9
-122.60494\t45.636572\t8
-122.604607\t45.636397\t7
-122.603868\t45.636428\t11
-122.602912\t45.63646\t15
-122.601877\t45.636512\t15
-122.600992\t45.63659\t13
-122.600507\t45.636657\t7
-122.600222\t45.636727\t0
-122.600087\t45.637093\t9
-122.600112\t45.637645\t12
-122.600132\t45.638198\t12
-122.600145\t45.638537\t6
-122.600147\t45.638557\t0
-122.600147\t45.638557\t0
-122.600153\t45.638702\t3
-122.600163\t45.639133\t10
-122.600182\t45.639672\t11
-122.600248\t45.640062\t8
-122.600313\t45.640247\t4
-122.600452\t45.640573\t8
-122.600645\t45.641055\t11
-122.600755\t45.64162\t12
-122.600748\t45.64215\t11
-122.60074\t45.642598\t9
-122.600723\t45.643065\t13
-122.600708\t45.64356\t10
-122.600687\t45.643995\t9
-122.600672\t45.644315\t6
-122.600668\t45.644438\t0
-122.600658\t45.64479\t8
-122.600657\t45.645347\t12
-122.600782\t45.646027\t15
-122.600975\t45.646732\t15
-122.601173\t45.647325\t13
-122.601287\t45.647675\t7
-122.601307\t45.647753\t1
