-122.564492\t45.558785\t
-122.564318\t45.558788\t2
-122.564212\t45.558673\t2
-122.56415\t45.558562\t2
-122.564123\t45.558528\t0
-122.564025\t45.55842\t3
-122.563713\t45.558405\t4
-122.56315\t45.558627\t10
-122.562495\t45.55888\t11
-122.561915\t45.55918\t11
-122.561658\t45.559467\t7
-122.56158\t45.559543\t1
-122.561567\t45.559547\t0
-122.561452\t45.559665\t3
-122.561153\t45.55999\t8
-122.560922\t45.560532\t12
-122.560888\t45.561258\t16
-122.56069\t45.562058\t18
-122.560057\t45.562787\t18
-122.559222\t45.563477\t20
-122.558357\t45.564182\t20
-122.557425\t45.564893\t21
-122.556418\t45.565653\t22
-122.555375\t45.56645\t23
-122.554272\t45.56728\t25
-122.553138\t45.568147\t25
-122.552057\t45.568962\t24
-122.551035\t45.569747\t23
-122.550037\t45.570517\t23
-122.54907\t45.571303\t22
-122.548138\t45.572127\t29
-122.547285\t45.572975\t22
-122.546513\t45.573855\t22
-122.545187\t45.575683\t22
-122.544708\t45.576557\t20
-122.544292\t45.57749\t21
-122.54395\t45.578455\t21
-122.543693\t45.579422\t21
-122.543522\t45.580447\t22
-122.543445\t45.581513\t23
-122.543463\t45.582593\t23
-122.543592\t45.583665\t23
-122.543812\t45.584688\t22
-122.544132\t45.585713\t23
-122.544537\t45.586697\t22
-122.545028\t45.587665\t22
-122.545588\t45.588632\t23
-122.546158\t45.58957\t22
-122.546737\t45.590503\t22
-122.547313\t45.59144\t22
-122.547862\t45.592355\t21
-122.548352\t45.593255\t21
-122.54881\t45.59418\t21
-122.549237\t45.595135\t22
-122.549615\t45.59612\t22
-122.549957\t45.597093\t22
-122.550255\t45.598088\t22
-122.550507\t45.599083\t22
-122.550707\t45.6001\t22
-122.55088\t45.60114\t23
-122.551038\t45.602175\t23
-122.551162\t45.603185\t22
-122.551248\t45.6041\t19
-122.55132\t45.604817\t15
-122.551212\t45.605342\t11
-122.550613\t45.605615\t11
-122.549883\t45.605432\t12
-122.549353\t45.604907\t14
-122.54899\t45.60422\t16
-122.548725\t45.603487\t16
-122.548368\t45.602795\t16
