longitude\tlatitude\tspeed
-122.505258\t45.594613\t
-122.504867\t45.594455\t7
-122.50449\t45.594272\t7
-122.504152\t45.594167\t5
-122.504085\t45.593812\t8
-122.504112\t45.593242\t12
-122.504553\t45.592695\t14
-122.50559\t45.592592\t17
-122.506757\t45.592847\t19
-122.508067\t45.59314\t21
-122.509537\t45.59349\t24
-122.511118\t45.593887\t26
-122.512762\t45.594295\t27
-122.514408\t45.594707\t27
-122.516008\t45.59513\t26
-122.51756\t45.59555\t25
-122.51905\t45.595958\t24
-122.520532\t45.596362\t24
-122.522028\t45.59677\t24
-122.523505\t45.597172\t24
-122.525032\t45.59756\t22
-122.526565\t45.597923\t24
-122.528057\t45.598278\t27
-122.52958\t45.598642\t22
-122.531135\t45.59901\t25
-122.532637\t45.599368\t24
-122.534142\t45.599727\t24
-122.535737\t45.600107\t26
-122.537407\t45.6005\t27
-122.539133\t45.600908\t28
-122.540867\t45.601347\t28
-122.542595\t45.601813\t28
-122.544317\t45.602277\t28
-122.546047\t45.602695\t28
-122.549475\t45.60351\t27
-122.551127\t45.603915\t27
-122.552607\t45.604297\t24
-122.55375\t45.604638\t18
-122.554203\t45.605247\t15
-122.55371\t45.605825\t15
-122.552743\t45.605788\t15
-122.552223\t45.605142\t17
-122.551932\t45.604312\t19
-122.551498\t45.602278\t22
-122.551262\t45.60113\t25
-122.551043\t45.599913\t27
-122.550767\t45.598652\t28
-122.550408\t45.597368\t28
-122.549975\t45.59608\t29
-122.549455\t45.594788\t29
-122.548852\t45.5935\t29
-122.548167\t45.592232\t30
-122.547408\t45.590982\t29
-122.546638\t45.589733\t29
-122.545872\t45.588483\t30
-122.545153\t45.58722\t29
-122.544568\t45.585925\t29
-122.544147\t45.584603\t29
-122.543887\t45.583277\t29
-122.5438\t45.581955\t29
-122.543858\t45.580652\t28
-122.544068\t45.579367\t28
-122.544428\t45.578103\t28
-122.544928\t45.576878\t28
-122.545572\t45.575692\t28
-122.546357\t45.574535\t28
-122.547297\t45.573413\t35
-122.548362\t45.572358\t28
-122.549553\t45.571367\t28
-122.550827\t45.570417\t28
-122.552098\t45.56947\t28
-122.553368\t45.568528\t28
-122.554637\t45.567583\t28
-122.555893\t45.566632\t28
-122.557157\t45.565682\t28
-122.558418\t45.56473\t28
-122.559688\t45.563773\t28
-122.560975\t45.562822\t28
-122.562312\t45.56189\t29
-122.563627\t45.56097\t28
-122.564858\t45.560038\t28
-122.566002\t45.559065\t27
-122.566848\t45.55796\t27
-122.567322\t45.556755\t27
-122.567338\t45.555513\t27
-122.56694\t45.554307\t27
-122.566217\t45.553178\t27
-122.565172\t45.552187\t27
-122.564003\t45.551313\t26
-122.562808\t45.550465\t26
-122.561703\t45.549542\t26
-122.560947\t45.548457\t26
-122.560615\t45.547292\t26
-122.560718\t45.546125\t25
-122.561163\t45.544968\t26
-122.561685\t45.543807\t26
-122.562163\t45.542643\t26
-122.562588\t45.541517\t25
-122.562977\t45.54044\t24
-122.563303\t45.539363\t24
-122.563578\t45.538295\t24
-122.56385\t45.537217\t24
-122.564125\t45.536138\t24
-122.564425\t45.53506\t24
-122.564798\t45.53402\t21
-122.565403\t45.533093\t24
-122.56646\t45.532382\t22
-122.56782\t45.531908\t23
-122.56935\t45.531593\t24
-122.570983\t45.53149\t25
-122.572643\t45.531592\t25
-122.574247\t45.5319\t23
-122.575752\t45.532362\t25
-122.577278\t45.53289\t26
-122.578853\t45.533433\t27
-122.580428\t45.533983\t27
-122.581992\t45.534557\t27
-122.583553\t45.535162\t27
-122.58525\t45.535593\t28
-122.587075\t45.535703\t28
-122.588883\t45.535473\t28
-122.590545\t45.534923\t28
-122.592357\t45.534025\t28
-122.59385\t45.533252\t28
-122.59533\t45.532488\t28
-122.596802\t45.531733\t28
-122.598277\t45.53097\t28
-122.599773\t45.530207\t28
-122.601253\t45.529412\t28
-122.602745\t45.528618\t29
-122.604262\t45.527943\t27
-122.605883\t45.527533\t26
-122.607568\t45.527398\t26
-122.609278\t45.527542\t26
-122.610893\t45.527973\t26
-122.612258\t45.528658\t25
-122.613483\t45.529443\t25
-122.614693\t45.530228\t25
-122.615927\t45.531013\t26
-122.617273\t45.53171\t25
-122.618732\t45.53219\t24
-122.620283\t45.532558\t25
-122.621873\t45.532923\t25
-122.623465\t45.533292\t26
-122.625058\t45.533657\t25
-122.626642\t45.534025\t25
-122.628252\t45.534328\t25
-122.629842\t45.53431\t24
-122.631277\t45.53384\t24
-122.632333\t45.533032\t24
-122.633133\t45.532115\t23
-122.633945\t45.531313\t21
-122.635007\t45.530745\t20
-122.636353\t45.530457\t22
-122.637828\t45.530367\t23
-122.639343\t45.530295\t23
-122.640815\t45.530228\t22
-122.642213\t45.530163\t21
-122.643683\t45.530095\t22
-122.64514\t45.530028\t22
-122.646598\t45.529957\t22
-122.648095\t45.529843\t23
-122.649475\t45.529583\t21
-122.650705\t45.52927\t20
-122.651778\t45.528992\t17
-122.652852\t45.528713\t17
-122.653957\t45.528427\t18
-122.655137\t45.528095\t19
-122.656358\t45.527682\t21
-122.657552\t45.527178\t21
-122.658623\t45.526653\t20
-122.659667\t45.526133\t19
-122.660775\t45.525635\t20
-122.662002\t45.525355\t20
-122.66317\t45.525337\t17
-122.664288\t45.525132\t18
-122.66519\t45.524587\t18
-122.66565\t45.523793\t19
-122.665707\t45.522892\t20
-122.665762\t45.521957\t20
-122.665885\t45.521037\t20
-122.66615\t45.520092\t21
-122.666528\t45.519092\t22
-122.666928\t45.518055\t23
-122.667242\t45.516987\t24
-122.667515\t45.515893\t24
-122.667778\t45.514787\t24
-122.667992\t45.513732\t23
-122.667945\t45.512688\t23
-122.667478\t45.511712\t22
-122.666785\t45.510845\t21
-122.666605\t45.509953\t19
-122.667065\t45.50913\t19
-122.667982\t45.508488\t20
-122.668965\t45.507882\t20
-122.669948\t45.507297\t20
-122.670968\t45.506678\t18
-122.67198\t45.506025\t21
-122.673162\t45.505548\t21
-122.67456\t45.505458\t21
-122.675927\t45.505528\t21
-122.677258\t45.5056\t20
-122.678552\t45.505677\t20
