-122.656662\t45.69327\t0
-122.67056\t45.6282\t
-122.670535\t45.628493\t6
-122.670553\t45.628755\t0
-122.670558\t45.629227\t8
-122.670552\t45.629612\t8
-122.670542\t45.629988\t8
-122.670503\t45.63026\t5
-122.670447\t45.630445\t4
-122.670513\t45.630842\t0
-122.670513\t45.631238\t8
-122.670512\t45.63158\t7
-122.670515\t45.631715\t0
-122.670377\t45.631833\t3
-122.669915\t45.63182\t7
-122.669658\t45.631808\t3
-122.669647\t45.631808\t0
-122.669282\t45.631798\t6
-122.668513\t45.631785\t12
-122.667578\t45.63185\t14
-122.666753\t45.631905\t12
-122.666232\t45.631695\t9
-122.666162\t45.6312\t11
-122.666242\t45.630563\t14
-122.666378\t45.629802\t17
-122.666795\t45.628935\t20
-122.667335\t45.627968\t23
-122.667942\t45.626962\t24
-122.668608\t45.625955\t24
-122.669442\t45.625013\t24
-122.670417\t45.624165\t23
-122.671432\t45.62341\t22
-122.672388\t45.62269\t21
-122.673137\t45.621925\t20
-122.673638\t45.621102\t19
-122.674147\t45.620253\t20
-122.674642\t45.619423\t19
-122.67506\t45.61872\t16
-122.67546\t45.618047\t15
-122.675852\t45.61739\t15
-122.676267\t45.616685\t16
-122.676723\t45.615917\t18
-122.677197\t45.615128\t18
-122.677657\t45.614367\t18
-122.678087\t45.613643\t17
-122.678577\t45.612902\t17
-122.679042\t45.612275\t14
-122.679357\t45.611855\t9
-122.67974\t45.61165\t6
-122.680132\t45.611655\t6
-122.68035\t45.611718\t3
-122.680407\t45.611733\t0
-122.680718\t45.611802\t5
-122.680975\t45.611633\t6
-122.681027\t45.611293\t7
-122.681122\t45.611117\t4
-122.68136\t45.610737\t0
-122.681668\t45.610355\t9
-122.681943\t45.610037\t8
-122.682318\t45.609828\t7
-122.682827\t45.609687\t8
-122.683387\t45.60978\t9
-122.68402\t45.610015\t11
-122.684705\t45.610282\t12
-122.685352\t45.61053\t11
-122.685803\t45.610703\t7
-122.685878\t45.61087\t4
-122.68562\t45.611197\t8
-122.685368\t45.61151\t7
-122.685285\t45.611613\t2
-122.68502\t45.61195\t8
-122.68479\t45.612247\t7
-122.684728\t45.612325\t1
-122.684543\t45.612562\t6
-122.684468\t45.612658\t1
-122.684468\t45.612658\t1
-122.684327\t45.612738\t3
-122.68401\t45.612628\t6
-122.683427\t45.612398\t10
-122.682842\t45.612172\t9
-122.68244\t45.612017\t6
-122.682385\t45.611997\t1
-122.68238\t45.611993\t1
