-122.552488\t45.683292\t16
-122.58468\t45.656092\t
-122.584845\t45.656037\t2
-122.585008\t45.656002\t2
-122.585217\t45.655968\t3
-122.585387\t45.656023\t2
-122.585415\t45.65615\t2
-122.58524\t45.65623\t3
-122.58503\t45.656258\t3
-122.584792\t45.656292\t3
-122.58456\t45.656327\t3
-122.584337\t45.656358\t3
-122.584113\t45.656357\t3
-122.583955\t45.656258\t3
-122.583925\t45.656187\t1
-122.583917\t45.656157\t0
-122.58379\t45.656077\t3
-122.583307\t45.656148\t8
-122.58263\t45.656258\t10
-122.581918\t45.656373\t11
-122.58123\t45.65656\t11
-122.58053\t45.656763\t11
-122.579843\t45.656972\t10
-122.579328\t45.657302\t11
-122.579118\t45.657725\t10
-122.579095\t45.658077\t7
-122.579088\t45.658143\t1
-122.579088\t45.658145\t0
-122.57896\t45.658253\t3
-122.578465\t45.658228\t8
-122.577735\t45.658173\t11
-122.577027\t45.658132\t10
-122.576463\t45.65802\t9
-122.576135\t45.657845\t6
-122.576018\t45.657777\t2
-122.575773\t45.657618\t5
-122.575428\t45.657507\t6
-122.575068\t45.657782\t8
-122.574592\t45.658232\t12
-122.57399\t45.658722\t14
-122.5733\t45.659232\t15
-122.572552\t45.659732\t16
-122.571758\t45.660195\t15
-122.570945\t45.66062\t15
-122.570138\t45.661018\t15
-122.569333\t45.661372\t14
-122.56862\t45.661712\t13
-122.567937\t45.662055\t13
-122.567252\t45.662395\t13
-122.566558\t45.66272\t13
-122.565883\t45.663037\t12
-122.565223\t45.663337\t12
-122.564525\t45.663613\t12
-122.563797\t45.663897\t13
-122.56312\t45.664162\t11
-122.562615\t45.66436\t8
-122.562305\t45.664485\t5
-122.562172\t45.66454\t2
-122.562112\t45.664565\t0
-122.56184\t45.664683\t5
-122.561298\t45.664917\t10
-122.560642\t45.665175\t11
-122.559897\t45.665423\t12
-122.559143\t45.665628\t12
-122.55836\t45.665832\t12
-122.557568\t45.666018\t13
-122.556778\t45.666217\t13
-122.555955\t45.66642\t13
-122.555123\t45.666627\t13
-122.55431\t45.66683\t13
-122.553615\t45.667002\t11
-122.553175\t45.667112\t6
-122.552912\t45.667178\t3
-122.552872\t45.667188\t0
-122.552617\t45.667278\t5
-122.552498\t45.667617\t8
-122.552503\t45.668147\t12
-122.552502\t45.66871\t12
-122.552508\t45.669112\t8
-122.552512\t45.669353\t4
-122.552512\t45.669435\t1
-122.552513\t45.669647\t0
-122.5525\t45.670073\t10
-122.552495\t45.670698\t11
-122.552493\t45.671297\t13
-122.552492\t45.671975\t13
-122.552492\t45.672672\t16
-122.552492\t45.67337\t14
-122.55249\t45.673983\t13
-122.55249\t45.674567\t13
-122.552487\t45.675257\t15
-122.552487\t45.675965\t15
-122.552485\t45.676645\t15
-122.552485\t45.677297\t14
-122.552485\t45.677995\t15
-122.552487\t45.678718\t16
-122.55249\t45.679467\t16
-122.552488\t45.68018\t15
-122.552487\t45.680895\t15
-122.552485\t45.681707\t18
-122.552487\t45.682528\t18
-122.54726\t45.760997\t18
-122.54727\t45.761843\t18
-122.547275\t45.76269\t18
-122.547282\t45.763527\t18
-122.547288\t45.764332\t17
-122.54729\t45.764992\t14
-122.54729\t45.765472\t10
-122.547293\t45.765757\t6
-122.547297\t45.765908\t0
-122.5473\t45.766253\t8
-122.547298\t45.766848\t13
-122.547297\t45.767532\t15
-122.547302\t45.768165\t13
